[GPU0] Epoch 0 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 0 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 1 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 1 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 2 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 2 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 3 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 3 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 4 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 4 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 5 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 5 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 6 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 6 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 7 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 7 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 8 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 8 | Batchsize: 32 | Steps: 128
[GPU1] Epoch 9 | Batchsize: 32 | Steps: 128
[GPU0] Epoch 9 | Batchsize: 32 | Steps: 128
total_epochs:10, train_time:4
total_epochs:10, train_time:4
